SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,DomEcoReg
GRSL,SLC,10167800,"Little Cottonwood Creek at Crestwood Park at Salt Lake City, UT",10.45031,68.1701,ECO_13
GRSL,SLC,4.00927E+14,"Hobble Creek at 800 East at Springville, UT",9.762599,64.2524,ECO_13
GRSL,SLC,4.00959E+14,"Hobble Creek at Center Street at Springville, UT",9.852899,63.764,ECO_13
GRSL,SLC,4.01442E+14,"Provo River at 800 North at Salt Lake City, UT",10.19271,57.0811,ECO_13
GRSL,SLC,4.01653E+14,"Provo River at 3700 North at Provo, UT",9.744991,59.9334,ECO_13
GRSL,SLC,4.0185E+14,"Provo River at Highway 189 at Provo, UT",9.317397,63.2929,ECO_13
GRSL,SLC,4.03707E+14,"Big Cottonwood Creek above Water Treatment Plant at Salt Lake City, UT",9.77768,75.1833,ECO_13
GRSL,SLC,4.03755E+14,"Little Cottonwood Creek at Wheeler Farm at Salt Lake City, UT",10.61287,66.2479,ECO_13
GRSL,SLC,4.03927E+14,"Little Cottonwood Creek at Murray Park at Salt Lake City, UT",10.9197,63.342,ECO_13
GRSL,SLC,4.03945E+14,"Big Cottonwood Creek at Cottonwood Mall at Salt Lake City, UT",10.67912,65.4072,ECO_13
GRSL,SLC,4.04E+14,"Big Cottonwood Creek at 900 East at Salt Lake City, UT",10.95766,62.8354,ECO_13
GRSL,SLC,4.0414E+14,"Mill Creek at 3060 East at Salt Lake City, UT",10.32838,66.4805,ECO_13
GRSL,SLC,4.04143E+14,"Mill Creek at 2000 East Salt Lake City, UT",10.43057,65.6695,ECO_13
GRSL,SLC,4.04218E+14,"Mill Creek at 300 East at Salt Lake City, UT",11.14604,59.9393,ECO_13
GRSL,SLC,4.04317E+14,"Parleys Creek at Sugarhouse Park at Salt Lake City, UT",10.14125,66.9991,ECO_13
GRSL,SLC,4.04349E+14,"Emigration Creek at 1200 East at Salt Lake City, UT",10.41168,63.952,ECO_13
GRSL,SLC,4.0443E+14,"Emigration Creek at 1300 South at Salt Lake City, UT",10.19985,65.4271,ECO_13
GRSL,SLC,4.05854E+14,"Farmington Creek at Frontage Road at Farmington, UT",10.41957,62.9108,ECO_13
GRSL,SLC,4.10041E+14,"Baer Creek at Frontage Road at Kaysville, UT",10.41556,64.0995,ECO_13
GRSL,SLC,4.10148E+14,"Baer Creek at Fruit Heights, UT",9.374179,71.6679,ECO_13
GRSL,SLC,4.10231E+14,"Holmes Creek at Main Street at Layton, UT",10.07199,66.9393,ECO_13
GRSL,SLC,4.1025E+14,"North Fork of Holmes Creek at Main Street at Layton, UT",10.10005,66.7661,ECO_13
